stock_code,up,down
300059,0.55,0.45
300750,0.52,0.48
600000,0.52,0.48
600009,0.65,0.35
600016,0.58,0.42
600028,0.58,0.42
600030,0.59,0.41
600036,0.52,0.48
600048,0.52,0.48
600050,0.52,0.48
600104,0.52,0.48
600196,0.52,0.48
600276,0.52,0.48
600309,0.6,0.4
600438,0.52,0.48
600519,0.55,0.45
600547,0.52,0.48
600570,0.52,0.48
600585,0.4,0.6
600588,0.2,0.8
600690,0.52,0.48
600703,0.3,0.7
600745,0.52,0.48
600837,0.52,0.48
600887,0.52,0.48
600893,0.6,0.4
600918,0.52,0.48
601012,0.35,0.65
601066,0.52,0.48
601088,0.52,0.48
601138,0.55,0.45
601166,0.6,0.4
601288,0.7,0.3
601318,0.602,0.398
601336,0.4,0.6
601398,0.6,0.4
601601,0.52,0.48
601628,0.6,0.4
601668,0.7,0.3
601688,0.52,0.48
601818,0.52,0.48
601857,0.52,0.48
601888,0.52,0.48
601899,0.52,0.48
601995,0.55,0.45
603259,0.55,0.45
603288,0.45,0.55
603501,0.6,0.4
603986,0.52,0.48
